Game,Minimum PC Requirements,Average Hours,Platform
Grand Theft Auto IV,OS: Windows Vista - Service Pack 1 / Windows XP - Service Pack 3                    Processor: Intel Core 2 Duo 1.8GHz AMD Athlon X2 64 2.4GHz                    Memory: 1.5GB XP / 1.5GB Vista                    Graphics: 256MB Nvidia 7900 / 256MB ATI X1900                    DirectX Version: DirectX 9.0c Compliant Card                     Hard Drive: 16GB of Hard Disc Space                     Sound Card: 5.1 Channel Audio Card                     Other Requirements: Initial activation requires internet connection; Online play requires log-in to Games For Windows - Live and Rockstar Games Social Club (13+ to register); software installations required including Adobe Flash DirectX Microsofts .NET Framework 3.0 Games For Windows - LIVE and Internet Explorer.,20.74,PC
TERA,Minimum:OS: Windows 7 32-bitProcessor: Intel i3 2130 / AMD FX 4130Memory: 4 GB RAMGraphics: GeForce 9800 GT / Radeon HD 3870DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 45 GB available space,20.24,PC
Portal 2,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,20.13,PC
Portal 2,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,20.13,PC
Portal 2,Minimum:OS: Windows 7 / Vista / XPProcessor: 3.0 GHz P4 Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible,20.13,PC
Saints Row IV,Minimum:OS: Windows Vista (x86 or x64)Processor: Intel Core 2 Quad Q6600 | AMD Athlon II x3Memory: 4 GB RAMGraphics: NVIDIA GTX 260 | AMD Radeon HD 5800 seriesDirectX: Version 10Storage: 10 GB available space,19.87,PC
Dishonored,Minimum:OS: Windows Vista / Windows 7Processor: 3.0 GHz dual core or betterMemory: 3 GB system RAMHard Disk Space: 9 GBVideo Card: DirectX 9 compatible with 512 MB video RAM or better (NVIDIA GeForce GTX 460 / ATI Radeon HD 5850)Sound: Windows compatible sound card,19.6,PC
Tropico 5,Minimum:OS: Windows Vista SP2 Windows 7 Windows 8Processor: 2 GHz Dual Core CPUMemory: 4 GB RAMGraphics: GeForce 400 or higher AMD Radeon HD 4000 or higher Intel HD 4000 or higher (DirectX 11 hardware support required)DirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX compatible,19.46,PC
F1 2015,Minimum:OS: Windows 7 64 bit or Windows 8 64 bitProcessor: Intel Core 2 Quad @ 3.0GHz or AMD Phenom II X4 @ 3.2GHzMemory: 4 GB RAMGraphics: Intel 4th Gen Iris Graphics or AMD HD5770 or NVIDIA GTS450DirectX: Version 11Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible soundcardAdditional Notes: Supported Graphics Cards: DirectX 11 Graphics Card Required Intel: 4th Gen Iris or Higher Intel Iris Pro Series AMD: HD5770 or Higher HD6770 or Higher HD7750 or Higher R7 250 or Higher R9 Series Nvidia: GTS450 or Higher GT545 or Higher GT640 or Higher GT740 or Higher GTX900 Series,18.9,PC
Lost Horizon,OS: Windows® XP/Vista(tm)/Windows 7™Processor: Pentium IV 2 GHz Single Core or 100 % compatible CPUMemory: 512 MB RAMGraphics: DirectX® 9-compatible AGP or PCI Express 64 MB video card or betterDirectX®: DirectX® 9Hard Drive: 4.5 GB of free hard disk spaceSound: DirectX® 9-compatible 16-bit sound card (optional),18.63,PC
Just Cause 2,Minimum:OS: Microsoft Windows Vista (Windows XP is unsupported)Processor: Dual-core CPU with SSE3 (Athlon 64 X2 4200 / Pentium D 3GHz)Memory: 2GB System MemoryHard Drive: 10GB of free drive spaceGraphics: DX10 compatible graphics card with 256 MB of memory(Nvidia GeForce 8800 series/ ATI Radeon HD 2600 Pro)Sound: 100% DirectX 10 compatible sound cardDirectX(r): Microsoft DirectX 10,18.59,PC
